text,topic
Need help for translating old signs,"translation, meaning, old chinese"
Word request: Mensatüte,"translation, word choice, word requests, culture, history"
压力高低 vs. 压力大小: Why did a native speaker change 生活的压力很低 to 生活的压力小?,"grammar, word choice"
"What are the characters for ""qiu qiu"", which means: ""check this out""","phrase, word requests"
Identify a character?,character identification
What are the most common mistakes when pronouncing Pinyin?,pinyin
"Is it incorrect to write 少 with a hooked first stroke, like 小?","characters, handwriting"
How is the meaning of 不得已 formed?,"meaning, characters, etymology, pronunciation, expressions"
Discrepancies between the rimes of a character and its lower character in Guangyun?,"phonology, middle chinese"
Why did she choose 姐姐?,"meaning in context, politeness"
"What does ""淦"" mean?",meaning
What does the Kanji on this t-shirt say?,characters
What is the meaning of these words?,"translation, meaning"
Which translation of 我和太太日前到一家自助火锅店用餐时 is better?,"translation, ambiguity"
"What does Lao Tzu mean by ""Nature does not hurry, yet everything is accomplished""?",literature
Why Chinese subtitles in American shows are relatively simple?,"translation, movies"
Need help deciphering this Classical Chinese from 《左传·襄公三十年》,classical chinese
What does 玄机 mean?,meaning in context
What is the difference in use between 以及 and 还有,difference
Historical Background in the Written Language (書面語) in Hong Kong,"cantonese, hong kong"
"What does this pattern (由 … 而) mean, exactly?","usage, sentence structure"
What contributes to negative emotion / sentiment in this example?,meaning in context
What's the word for 'human quality'?,"mandarin, vocabulary"
What does 麻烦你了 mean?,"meaning in context, word"
Is there such a thing as a run-on-sentence in Chinese?,"grammar, writing"
Difference between 司 and 施,"word choice, difference"
What is the third character on this sign seen in Taipei?,"character identification, taiwan, zhuyin fuhao"
What's the difference between 主任 and 主管?,"grammar, mandarin, mainland china"
What exactly does 拆开 mean and is it commonly used?,"translation, meaning, word choice, usage"
What the meaning of 线上引流？,"meaning in context, terminology"
"Does 我也不知道怎么冒犯他了 mean ""I also don't know how to offend him"" and/or ""I also don't know how I offended him""?","meaning, meaning in context"
"What does the following phrase mean: 故虽有珉之雕雕,不若玉之章章——《荀子》","meaning, traditional characters, classical chinese, phrase, character identification"
"Is the mūdra ""little tarzan"" a real thing? what does it mean?",meaning
What does 汉学家 really mean?,phrase
"How to translate ""Always studying, never learning"" (study vs learned, read vs understand, always vs forever vs never, mastery vs proficiency)","translation, grammar, chengyu"
Is it correct to call the UK 英国？,names
What is wrong with this sentence and why? 我们八点上课，老师八点半才到了。,grammar
What is the difference between `踢足球` and `踢球`?,"word choice, word"
Gboard Chinese punctuation voice entry,input methods
Learning past tense with Rosetta Stone,"sentence structure, past tense"
What is the textbook used to learn Chinese in Havard and MIT?,"learning, resources"
Is it correct to omit 一起 in sentences like 我跟我的朋友一起去?,grammar
Retention of 其 as a modal particle in modern Chinese,"vocabulary, etymology, classical chinese, particles"
